"KEGG","OTHERID"
"mmu:100609","NP_663389"
"mmu:100637","NP_598659"
"mmu:100647","NP_780518"
"mmu:100678","NP_598661"
"mmu:100683","NP_001074831"
"mmu:100689","NP_598664"
"mmu:100702","NP_919317"
"mmu:100705","NP_598665"
"mmu:100710","NP_780519"
"mmu:100715","NP_598666"
"mmu:100727","NP_705826"
"mmu:100732","NP_579928"
"mmu:100737","NP_849227"
"mmu:100756","NP_001028374"
"mmu:100763","NP_598668"
"mmu:100764","NP_083372"
"mmu:100855","NP_598671"
"mmu:100859931","NP_001136411"
"mmu:100861615","NP_001257741"
"mmu:100861623","XP_003689018"
"mmu:100861640","XP_003689019"
"mmu:100861647","XP_006538476"
"mmu:100861655","XP_030107517"
"mmu:100861663","XP_006540569"
"mmu:100861667","XP_011249392"
"mmu:100861668","NP_001257482"
"mmu:100861679","XP_006540570"
"mmu:100861686","XP_003688882"
"mmu:100861691","XP_017174413"
"mmu:100861702","NP_001361654"
"mmu:100861708","XP_017171826"
"mmu:100861719","XP_017171759"
"mmu:100861727","XP_030109814"
"mmu:100861730","XP_017174194"
"mmu:100861743","XP_030107484"
"mmu:100861753","NP_001289895"
"mmu:100861755","NP_001297378"
"mmu:100861756","XP_017174195"
"mmu:100861784","XP_030108832"
"mmu:100861814","XP_030104076"
"mmu:100861817","NP_001360813"
"mmu:100861821","XP_011249374"
"mmu:100861839","NP_001360814"
"mmu:100861879","NP_001360820"
"mmu:100861880","NP_001257827"
"mmu:100861891","NP_001257830"
"mmu:100861898","XP_006516499"
"mmu:100861899","XP_011249339"
"mmu:100861901","NP_001257571"
"mmu:100861906","XP_030107474"
"mmu:100861908","NP_001257651"
"mmu:100861909","NP_001334083"
"mmu:100861966","NP_001257596"
"mmu:100861969","XP_006542822"
"mmu:100861973","XP_030107459"
"mmu:100861978","NP_001254633"
"mmu:100861987","NP_001279986"
"mmu:100862015","NP_001264460"
"mmu:100862019","XP_017175982"
"mmu:100862025","XP_030107479"
"mmu:100862042","XP_011249344"
"mmu:100862043","XP_017174397"
"mmu:100862059","NP_001360822"
"mmu:100862066","NP_001357734"
"mmu:100862067","XP_003689009"
"mmu:100862072","XP_006519955"
"mmu:100862075","NP_001359462"
"mmu:100862085","XP_011243592"
"mmu:100862088","XP_006536399"
"mmu:100862115","XP_006542832"
"mmu:100862118","XP_003689010"
"mmu:100862126","NP_001257542"
"mmu:100862177","NP_001257289"
"mmu:100862179","XP_006536403"
"mmu:100862180","XP_011249427"
"mmu:100862192","XP_003689193"
"mmu:100862202","XP_006542834"
"mmu:100862203","NP_001311479"
"mmu:100862220","XP_030107507"
"mmu:100862245","XP_017174402"
"mmu:100862247","NP_001257361"
"mmu:100862261","NP_001344518"
"mmu:100862274","XP_003689011"
"mmu:100862314","NP_001257614"
"mmu:100862323","XP_003689013"
"mmu:100862324","XP_003689294"
"mmu:100862326","XP_017174189"
"mmu:100862329","NP_001257598"
"mmu:100862341","XP_003689015"
"mmu:100862345","XP_011248183"
"mmu:100862348","XP_011242253"
"mmu:100862349","XP_003688854"
"mmu:100862359","NP_001268445"
"mmu:100862360","XP_030107473"
"mmu:100862365","NP_001257442"
"mmu:100862366","XP_011248184"
"mmu:100862368","XP_017176684"
"mmu:100862369","XP_003689016"
"mmu:100862371","XP_017174326"
"mmu:100862375","NP_001346088"
"mmu:100862383","NP_001257443"
"mmu:100862388","XP_017176743"
"mmu:100862389","XP_003689017"
"mmu:100862394","NP_001257444"
"mmu:100862398","NP_001257445"
"mmu:100862413","XP_003688791"
"mmu:100862415","XP_003688792"
"mmu:100862433","XP_003688797"
"mmu:100862446","XP_003689256"
"mmu:100862455","XP_003689266"
"mmu:100862456","XP_006537514"
"mmu:100862468","XP_003689233"
"mmu:100862470","XP_017174483"
"mmu:100862473","XP_003689218"
"mmu:100900","NP_705799"
"mmu:100910","NP_598674"
"mmu:100929","NP_001015876"
"mmu:100952","NP_598679"
"mmu:100972","NP_081571"
"mmu:100978","NP_001346766"
"mmu:100986","NP_919444"
"mmu:101023","NP_780520"
"mmu:101055663","XP_006535920"
"mmu:101055670","XP_030102909"
"mmu:101055671","NP_001309267"
"mmu:101055672","XP_006535921"
"mmu:101055676","XP_030107501"
"mmu:101055745","XP_030106058"
"mmu:101055754","XP_011243079"
"mmu:101055758","XP_006530041"
"mmu:101055806","XP_011243580"
"mmu:101055854","NP_001359395"
"mmu:101055862","XP_030098996"
"mmu:101055863","NP_001264416"
"mmu:101055864","NP_001311480"
